Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier,
2020-06-18 21:15:42 +0000,Dumbbell Bench Press,15,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Bench Press,10,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Bench Press,10,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Bench Press,15,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Single Leg Kettlebell Deadlift,6,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Single Leg Kettlebell Deadlift,6,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Single Leg Kettlebell Deadlift,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Single Leg Kettlebell Deadlift,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Side Leg Raises,20,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Side Leg Raises,20,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Side Leg Raises,20,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Side Leg Raises,20,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Floor Press,6,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Floor Press,6,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Floor Press,6,9.071858189,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Squeeze Press,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Squeeze Press,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Squeeze Press,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Dumbbell Squeeze Press,12,4.535929094,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Mini Loop Band Tricep Press,8,0,0,0,0,0,FALSE,,2,
2020-06-18 21:15:42 +0000,Scissor Crossover Kick,18,0,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Row,8,9.071858189,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Row,8,9.071858189,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Row,10,9.071858189,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Row,10,9.071858189,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Kettlebell Thruster,15,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Kettlebell Thruster,15,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Kettlebell Thruster,15,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Bicep Curl,9,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Bicep Curl,9,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Dumbbell Bicep Curl,9,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Arnold Dumbbell Press,5,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Arnold Dumbbell Press,5,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Arnold Dumbbell Press,5,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Mini Loop Band Kneeling Row,8,0,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Mini Loop Band Kneeling Row,10,0,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Mini Loop Band Kneeling Row,10,0,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Hammer Curls,6,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Hammer Curls,6,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Hammer Curls,6,4.535929094,0,0,0,0,FALSE,,2,
2020-06-17 15:40:20 +0000,Leg Raise,13,0,0,0,0,0,FALSE,,1,
2020-06-17 15:40:20 +0000,Leg Raise,13,0,0,0,0,0,FALSE,,1,
2020-06-17 15:40:20 +0000,Leg Raise,13,0,0,0,0,0,FALSE,,1,
2020-06-17 15:40:20 +0000,Leg Raise,13,0,0,0,0,0,FALSE,,1,
2020-06-17 15:40:20 +0000,Leg Raise,13,0,0,0,0,0,FALSE,,1,
2020-06-16 12:10:00 +0000,Walking,0,0,600,5632.704,0,0,FALSE,,0,
2020-06-15 20:49:00 +0000,Jump Squat,15,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Pistol Squat,11,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Pistol Squat,8,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Pistol Squat,7,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Lunge,11,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Lunge,8,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Lunge,7,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Single Leg Kickback,7,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Single Leg Kickback,7,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Single Leg Kickback,7,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Superman,8,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Superman,8,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Superman,8,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Step Up,15,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Step Up,15,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Step Up,15,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Curtsy Lunge,12,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Curtsy Lunge,12,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Curtsy Lunge,12,0,0,0,0,0,FALSE,,2,
2020-06-15 20:49:00 +0000,Single Dumbbell Power Clean,10,4.535929094,0,0,0,0,FALSE,,4,
2020-06-15 20:49:00 +0000,Single Dumbbell Power Clean,10,4.535929094,0,0,0,0,FALSE,,4,
2020-06-15 20:49:00 +0000,Single Dumbbell Power Clean,10,4.535929094,0,0,0,0,FALSE,,4,
2020-06-15 20:49:00 +0000,Kettlebell Swing,15,4.535929094,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Kettlebell Swing,15,4.535929094,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Kettlebell Swing,15,4.535929094,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Push Up on Knees,15,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Push Up on Knees,15,0,0,0,0,0,FALSE,,1,
2020-06-15 20:49:00 +0000,Push Up on Knees,15,0,0,0,0,0,FALSE,,1,
2020-06-12 18:33:00 +0000,Hiking,0,0,7200,5310.8352,0,0,FALSE,,0,
2020-06-10 21:39:24 +0000,Single Dumbbell Sumo Squat,15,5.669911368,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Single Dumbbell Sumo Squat,15,5.669911368,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Single Dumbbell Sumo Squat,15,5.669911368,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Dumbbell Kickbacks,18,3.628743275,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Dumbbell Kickbacks,18,3.628743275,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Dumbbell Kickbacks,18,3.628743275,0,0,0,0,FALSE,,2,
2020-06-10 21:39:24 +0000,Dumbbell Kickbacks,18,3.628743275,0,0,0,0,FALSE,,2,
